"Enabled","Class","Name","Description","Version","WordPress","PHP","Dependencies","URI","Text Domain"
"true","Configurator\Modules\Profile_Additional_Capabilities","Profile Additonal Capabilities","Prevents ""Additonal Capabilities"" from displaying on user profile pages.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-additional-capabilities.php","—"
"true","Configurator\Modules\Profile_Contact_Website","Profile Contact Website","Removes the website field from user profile pages and related GUI elements from within the admin area.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-contact-website.php","—"
"true","Configurator\Modules\Profile_Name_Display_Name","Profile Name Display Name","Removes the ""Display name publicly as"" field from the user profile page and related ""author"" GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-name-display-name.php","—"
"true","Configurator\Modules\Profile_Name_Full_Name","Profile Name Full Name","Removes the first and last name fields from user profile pages and related GUI elements from within the admin area.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-name-full-name.php","—"
"true","Configurator\Modules\Profile_Name_Nickname","Profile Name Nickname","Disables and removes the ""Nickname"" field on user profiles.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, Configurator\Helpers\DOMXPath, \DOMDocument, \WP_Error","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-name-nickname.php","—"
"true","Configurator\Modules\Profile_Name","Profile Name","Removes the ""Name"" section from the user profile page.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-name.php","—"
"true","Configurator\Modules\Profile_Personal_Options","Profile Personal Options","Removes the ""Personal Options"" section from user profile pages.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-personal-options.php","—"
"true","Configurator\Modules\Recovery_Mode","Recovery Mode","Disables recovery mode.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-recovery-mode.php","—"
"true","Configurator\Modules\Referrer_Meta","Referrer Meta","Removes &lt;meta name=""referrer""&gt; from &lt;head&gt; on wp-login.php.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-referrer-meta.php","—"
"true","Configurator\Modules\Required_Email","Required Email","Disables the requirement for user emails and removes related notices.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument, \WP_Error","https://github.com/thefarside/configurator/tree/main/examples/modules/class-required-email.php","—"
"true","Configurator\Modules\Rest","Rest","Disables all non-whitelisted Rest endpoints with HTTP code 403.","0.0.1","6.9","8.4.11","Configurator\Helpers\HTTP_Status_Codes","https://github.com/thefarside/configurator/tree/main/examples/modules/class-rest.php","—"
"true","Configurator\Modules\Revisions","Revisions","Disables post revisions.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-revisions.php","—"
"true","Configurator\Modules\Robots_Meta","Robots Meta","Removes &lt;meta name=""robots""&gt; from &lt;head&gt; and removes the related GUI elements of the admin settings.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-robots-meta.php","—"
"true","Configurator\Modules\Role_Change","Role Change","Disables the ability to change user roles and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-role-change.php","—"
"true","Configurator\Modules\Screen_Options","Screen Options","Removes the screen options tab from admin pages.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-screen-options.php","—"
"true","Configurator\Modules\Shortlink_Link","Shortlink Link","Removes &lt;link rel='shortlink'&gt; from &lt;head&gt;.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-shortlink-link.php","—"
"true","Configurator\Modules\Site_Editor","Site Editor","Removes and disables the ""Appearance &gt; Editor"" menu item and page.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-site-editor.php","—"
"false","Configurator\Modules\Test","Test","Test description.","0.0.1","6.9","8.4.11","Configurator\Load","https://github.com/thefarside/configurator/tree/main/examples/modules/test.php","—"
"true","Configurator\Modules\Theme_Background","Theme Background","Disables custom background support for non-FSE themes.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-theme-background.php","—"
"true","Configurator\Modules\Title_Link","Title Link","Removes &lt;title&gt; from &lt;head&gt;.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-title-link.php","—"
"true","Configurator\Modules\Url_Versions","URL Versions","Disables auto appending a ""cache breaking"" version number on styles and scripts.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-url-versions.php","—"
"true","Configurator\Modules\User_Delete_Link","User Delete Link","Removes the delete link for users under All Users.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-user-delete-link.php","—"
"true","Configurator\Modules\User_Logins","User Logins","Prevents non-admin roles from being able to login.","0.0.1","6.9","8.4.11","\WP_User, \WP_Error","https://github.com/thefarside/configurator/tree/main/examples/modules/class-user-logins.php","—"
"true","Configurator\Modules\User_Passwords","User Passwords","Prevents non-admin roles from being able to reset their password and removes relevant GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument, \WP_User","https://github.com/thefarside/configurator/tree/main/examples/modules/class-user-passwords.php","—"
"true","Configurator\Modules\View_Own_Content_Backend","View Own Content Backend","Prevents non-admin roles from viewing other users content in the backend and removes relevant GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument, \WP_Query","https://github.com/thefarside/configurator/tree/main/examples/modules/class-view-own-content-backend.php","—"
"true","Configurator\Modules\Viewport_Meta","Viewport Meta","Removes &lt;meta name=""viewport""&gt; from &lt;head&gt; site wide.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-viewport-meta.php","—"
"true","Configurator\Modules\Xmlrpc","XMLRPC","Disables xmlrpc.php with HTTP Code 403.","0.0.1","6.9","8.4.11","Configurator\Helpers\HTTP_Status_Codes","https://github.com/thefarside/configurator/tree/main/examples/modules/class-xmlrpc.php","—"
"true","Configurator\Modules\Fse\Fse_Autosave","FSE Autosave","Disables autosave for the FSE editor.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-autosave.php","—"
"true","Configurator\Modules\Fse\Fse_Avatars","FSE Avatars","Removes the avatar block from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-avatars.php","—"
"true","Configurator\Modules\Fse\Fse_Comments","FSE Comments","Removes the comment blocks and option panels from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-comments.php","—"
"true","Configurator\Modules\Fse\Fse_Core_Patterns","FSE Core Patterns","Removes the default block patterns from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-core-patterns.php","—"
"true","Configurator\Modules\Fse\Fse_Editor_Blocks","FSE Editor Blocks","Facilitates filtering out blocks from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-editor-blocks.php","—"
"true","Configurator\Modules\Fse\Fse_Editor_Panels","FSE Editor Panels","Facilitates filtering out panels from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-editor-panels.php","—"
"true","Configurator\Modules\Fse\Fse_Editor_Patterns_Core","FSE Editor Patterns Core","Disables use of core patterns with Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-editor-patterns-core.php","—"
"true","Configurator\Modules\Fse\Fse_Editor_Patterns_Remote","FSE Editor Patterns Remote","Disables use of remote patterns with Gutenberg editors.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-editor-patterns-remote.php","—"
"true","Configurator\Modules\Fse\Fse_Editor_Patterns","FSE Editor Patterns","Facilitates filtering out patterns from Gutenberg editors.","0.0.1","6.9","8.4.11","\WP_Block_Patterns_Registry","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-editor-patterns.php","—"
"true","Configurator\Modules\Fse\Fse_Posts","FSE Posts","Removes post blocks and panels from Gutenberg editors.","0.0.1","6.9","8.4.11","Configurator\Helpers\FSE","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-posts.php","—"
"true","Configurator\Modules\Fse\Fse_Profile_About_Biography","FSE Profile About Biography","Removes the author biography block from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-profile-about-biography.php","—"
"true","Configurator\Modules\Fse\Fse_Profile_Name_Display_Name","FSE Profile Name Display Name","Removes the post author blocks and panels from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-profile-name-display-name.php","—"
"true","Configurator\Modules\Fse\Fse_User_Logins","FSE User Logins","Removes the log in/out block from Gutenberg editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/fse/class-fse-user-logins.php","—"
"true","Configurator\Modules\Ms\Ms_Activate_Fse_Warn","MS Activate FSE Warn","Removes the depreciation notice displayed on wp-activate.php when using an FSE theme.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/ms/class-ms-activate-fse-warn.php","—"
